Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj
HIGH_RELIEF - LINEAR_REEF,23.2844186846233,6.3771585142022e-120,1.27543170284044e-119,HIGH_RELIEF - LINEAR_REEF,13.022184179269022,9.151520030451891e-39,2.7454560091355674e-38,HIGH_RELIEF - LINEAR_REEF,16.719896804955965,9.388164598214995e-63,2.8164493794644986e-62,HIGH_RELIEF - LINEAR_REEF,17.08459945493039,1.9326571528377785e-65,5.7979714585133355e-65
HIGH_RELIEF - PATCH_REEF,26.187127558612815,3.724795245023401e-151,1.1174385735070203e-150,HIGH_RELIEF - PATCH_REEF,6.384414380749467,1.7205461246882838e-10,1.7205461246882838e-10,HIGH_RELIEF - PATCH_REEF,10.856612179361816,1.8550404056930026e-27,3.710080811386005e-27,HIGH_RELIEF - PATCH_REEF,5.247922306162524,1.538241394060369e-7,1.538241394060369e-7
LINEAR_REEF - PATCH_REEF,7.106212773653772,1.1927049382068232e-12,1.1927049382068232e-12,LINEAR_REEF - PATCH_REEF,-7.7782557606688325,7.35312970334901e-15,1.470625940669802e-14,LINEAR_REEF - PATCH_REEF,-6.203727967280083,5.514106816083672e-10,5.514106816083672e-10,LINEAR_REEF - PATCH_REEF,-14.654994834000329,1.2516615685402722e-48,2.5033231370805444e-48
