FAMILY,SCINAME,COMNAME,biomass_sum,com_percent
Gobiidae,Coryphopterus personatus,Masked Goby,30.370818915924893,0.021292847574051397
Serranidae,Hypoplectrus unicolor,Butter Hamlet,23.390537578724917,0.01639900302713795
Labridae,Xyrichtys splendens,Green Razorfish,23.29630161524261,0.016332934607581093
Serranidae,Serranus tigrinus,Harlequin Bass,21.63627519575681,0.01516909738551411
Labridae,Halichoeres poeyi,Blackear Wrasse,18.589694597655598,0.01303315312675009
Scaridae,Cryptotomus roseus,Bluelip Parrotfish,17.455015558384325,0.012237634642524902
Tetraodontidae,Canthigaster rostrata,Sharpnose Puffer,15.595483595772349,0.010933924961578103
Chaetodontidae,Chaetodon capistratus,Foureye Butterflyfish,15.387474577887128,0.010788090753942174
Pomacentridae,Stegastes leucostictus,Beaugregory,15.289002373769204,0.010719052324706262
Opistognathidae,Opistognathus aurifrons,Yellowhead Jawfish,10.89057967669442,0.007635337515621757
Gobiidae,Coryphopterus glaucofraenum,Bridled Goby,10.46788041198951,0.0073389849201273396
Pomacentridae,Chromis scotti,Purple Reeffish,9.102240874952377,0.00638154104666028
Scaridae,Sparisoma radians,Bucktooth Parrotfish,8.203252513737468,0.005751264260275761
Pomacentridae,Stegastes diencaeus,Longfin Damselfish,7.808471666653138,0.0054744851445926515
Pomacentridae,Chromis insolata,Sunshinefish,6.75136548602572,0.004733352650404791
Serranidae,Serranus tabacarius,Tobaccofish,6.620693220371153,0.004641738899638272
Ostraciidae,Acanthostracion quadricornis,Scrawled Cowfish,5.219211773201852,0.0036591664206067787
Gobiidae,Gnatholepis thompsoni,Goldspot Goby,4.071308810020076,0.002854376701485465
Ptereleotridae,Ptereleotris calliura,Blue Dartfish,2.7728498471916665,0.0019440328331425186
Serranidae,Hypoplectrus gemma,Blue Hamlet,2.7122636054230154,0.0019015560854909075
Serranidae,Hypoplectrus puella,Barred Hamlet,2.4054718949939735,0.001686465766549168
Labrisomidae,Malacoctenus macropus,Rosy Blenny,1.4320727364891512,0.0010040198974361294
Gobiidae,Elacatinus oceanops,Neon Goby,1.120861517401758,7.858310804105883e-4
Monacanthidae,Monacanthus tuckeri,Slender Filefish,1.0100659440678323,7.081527912143132e-4
Serranidae,Serranus baldwini,Lantern Bass,0.9966704502896118,6.987612694384798e-4
Blenniidae,Parablennius marmoreus,Seaweed Blenny,0.8675634436497633,6.082449148833225e-4
Labrisomidae,Malacoctenus triangulatus,Saddled Blenny,0.7505025993429313,5.261740717619944e-4
Gobiidae,Coryphopterus dicrus,Colon Goby,0.3597455601746672,2.522160301125239e-4
